7
-0.5740948,0.9841205,-0.9310982,1.963052
-0.6157172,0.8862588,-1.058981,2.304357
-0.6887975,0.7945223,-1.147868,2.748197
-0.6320239,0.9056586,-1.148322,3.063744
-0.6299922,1.222306,-1.044967,3.480612
-0.615009,1.049823,-1.16556,3.886377
-0.6869395,1.030609,-0.9815094,4.225145
2
-0.6516578,0.9779497,-0.9135071,4.69151
-0.6756127,0.9949318,-0.9119326,5.122668
13
-0.5655756,1.010908,-1.092798,1.96852
-0.5676694,1.012186,-1.097276,2.30968
-0.5795017,1.013721,-1.079876,2.660538
-0.5911257,1.014373,-1.060974,3.092844
-0.5907568,1.012709,-1.086214,3.50409
-0.6078982,1.023281,-1.198302,3.856341
-0.6382695,0.9944581,-1.257272,4.295651
-0.6553236,1.003225,-1.292158,4.646968
-0.5932882,1.03662,-1.143711,5.08844
-0.5702558,0.9341891,-0.9366621,5.579015
-0.6636734,0.999362,-0.9646981,5.988
-0.7311405,0.9997982,-0.9376262,6.388249
-0.7168497,0.9876074,-0.9030539,6.754283
