7
353.7282,65.25558,8.810883,1.963052
337.4397,63.4714,10.74845,2.304357
345.1436,111.3081,353.4736,2.748197
347.0635,28.65126,19.99741,3.063744
351.1186,41.44788,15.15072,3.480612
338.2843,55.20987,2.060382,3.886377
341.0757,69.87767,355.7653,4.225145
9
353.7282,65.25558,8.810883,1.963052
337.4397,63.4714,10.74845,2.304357
345.1436,111.3081,353.4736,2.748197
347.0635,28.65126,19.99741,3.063744
351.1186,41.44788,15.15072,3.480612
338.2843,55.20987,2.060382,3.886377
341.0757,69.87767,355.7653,4.225145
340.8769,68.85831,357.1798,4.69151
340.6582,70.06091,356.3379,5.122668
13
345.2638,63.58947,9.653921,1.96852
345.1211,63.64834,9.656215,2.30968
345.2592,63.57791,9.560864,2.660538
345.4411,63.44049,9.690996,3.092844
340.1648,49.17728,14.61746,3.50409
338.5184,44.45564,15.19655,3.856341
338.5029,74.89014,356.839,4.295651
341.0374,107.8594,338.237,4.646968
340.1591,65.94769,8.122832,5.08844
349.0585,36.4046,22.8778,5.579015
346.328,60.58972,12.31315,5.988
344.7234,64.38352,7.131595,6.388249
344.2321,65.17948,6.997461,6.754283
