7
-0.9366876,1.223178,-0.836982,1.963052
-0.9342967,1.22361,-0.8455976,2.304357
-0.938555,1.223692,-0.8609363,2.748197
-0.9408311,1.224674,-0.8582498,3.063744
-0.9324719,1.231798,-0.8343543,3.480612
-0.921748,1.220551,-0.8978823,3.886377
-0.9208483,1.223318,-0.8759882,4.225145
2
-0.9263307,1.220988,-0.8562562,4.69151
-0.9294537,1.222641,-0.8572445,5.122668
13
-0.9693084,1.26166,-0.8666961,1.96852
-0.9707592,1.260009,-0.8675514,2.30968
-0.9669631,1.249568,-0.8647642,2.660538
-0.9695938,1.259067,-0.8611528,3.092844
-0.976374,1.260728,-0.8622179,3.50409
-0.9672712,1.243944,-0.8792762,3.856341
-0.9695631,1.235918,-0.9448265,4.295651
-0.9657497,1.245625,-0.9568356,4.646968
-0.9586322,1.246416,-0.8163184,5.08844
-0.9671444,1.214897,-0.7388223,5.579015
-0.9671388,1.219609,-0.7858951,5.988
-0.9701025,1.225406,-0.8224785,6.388249
-0.9690584,1.22473,-0.8195579,6.754283
